"county_fips","pop_hs_less","pop_hs","pop_college","pop_bs_more","pct_pop_hs_less","pct_pop_hs","pct_pop_college","pct_pop_bs_more","pop_poverty","pct_pop_poverty","med_house_inc","unemploy_rate","pop_labor_force","pop_employed","pop_unemployed"
0,26948057,59265308,63365655,68867051,12.3,27.1,29,31.5,41852315,13.1,61937,3.9,161640488,155344043,6296445
1000,470043,1020172,987148,822595,14.2,30.9,29.9,24.9,801758,16.8,49881,3.9,2198837,2112347,86490
1001,4204,12119,10552,10291,11.3,32.6,28.4,27.7,7587,13.8,59338,3.6,25957,25015,942
1003,14310,40579,46025,46075,9.7,27.6,31.3,31.3,21069,9.8,57588,3.6,93849,90456,3393
1005,4901,6486,4566,2220,27,35.7,25.1,12.2,6788,30.9,34382,5.2,8373,7940,433
1007,2650,7471,3846,1813,16.8,47.3,24.4,11.5,4400,21.8,46064,4,8661,8317,344
1009,7861,13489,13267,5010,19.8,34,33.5,12.6,7527,13.2,50412,3.5,25006,24128,878
1011,1760,2817,1582,945,24.8,39.7,22.3,13.3,3610,42.5,29267,4.7,4776,4552,224
1013,2141,6091,3421,2235,15.4,43.9,24.6,16.1,4731,24.5,37365,4.8,8914,8487,427
1015,12620,25653,26643,14219,15.9,32.4,33.7,18,21719,19.5,45400,4.7,45972,43833,2139
1017,4383,9060,7003,3118,18.6,38.4,29.7,13.2,6181,18.7,39917,3.9,15276,14679,597
1019,3692,7157,5417,2407,19.8,38.3,29,12.9,4180,16.3,42132,3.6,11622,11207,415
1021,5302,13125,7147,4219,17.8,44.1,24,14.2,7542,17.3,47547,3.6,19476,18773,703
1023,1754,3606,2851,1225,18.6,38.2,30.2,13,2806,22.1,39907,5.5,4694,4434,260
1025,3175,7372,4205,2118,18.8,43.7,24.9,12.6,5381,22.8,40741,7.5,7627,7057,570
1027,2275,3366,2700,944,24.5,36.3,29.1,10.2,2285,17.6,39201,3.9,5963,5730,233
1029,2364,4135,2518,1428,22.6,39.6,24.1,13.7,2356,16,46495,4.2,5743,5499,244
1031,4833,9723,12181,8175,13.8,27.9,34.9,23.4,7053,13.8,55122,3.9,20817,19995,822
1033,6016,13927,11459,7236,15.6,36,29.7,18.7,7459,13.8,49055,4.6,23258,22184,1074
1035,1703,4315,1881,949,19.2,48.8,21.3,10.7,2979,24.4,32613,5.2,4494,4259,235
1037,1675,3178,2424,953,20.4,38.6,29.5,11.6,1973,18.9,42423,4.2,4376,4193,183
1039,4530,9368,8588,3952,17.1,35.4,32.5,14.9,7239,19.9,40203,4.6,15617,14902,715
1041,2091,3753,2326,1505,21.6,38.8,24,15.6,2661,19.5,39057,4.1,6298,6041,257
1043,10405,20382,18559,7866,18.2,35.6,32.4,13.7,11925,14.5,45796,3.3,37830,36589,1241
1045,4732,10924,12036,5690,14.2,32.7,36.1,17,7743,16.2,45309,4.2,20120,19274,846
1047,5135,9368,8076,4021,19.3,35.2,30.4,15.1,11841,31.4,34035,6.5,14860,13887,973
1049,12394,15956,13441,6085,25.9,33.3,28.1,12.7,14975,21.3,39491,3.8,30129,28979,1150
1051,7594,18304,16197,13664,13.6,32.8,29,24.5,8559,11.2,60367,3.4,37215,35932,1283
1053,4792,11546,6340,3287,18.5,44.5,24.4,12.7,8022,23.6,38418,4.6,14352,13696,656
1055,11147,23665,24416,12767,15.5,32.9,33.9,17.7,17509,17.5,44903,4.1,43096,41328,1768
1057,2060,4868,3273,1516,17.6,41.5,27.9,12.9,3801,23.5,39254,4.1,6482,6215,267
1059,4835,7666,5632,2679,23.2,36.8,27.1,12.9,5939,19.2,39388,3.7,14203,13673,530
1061,3891,6924,5720,2063,20.9,37.2,30.8,11.1,5537,21.3,37823,3.9,10851,10425,426
