"","county_fips","county_name","state_name","county_pop","county_pop_in_thou","current_total","date","new_cases","cum_cases","day","new_day"
"1",1001,"Autauga County","AL",55869,55.869,17,"3/24/20",1,1,1,0
"2",1001,"Autauga County","AL",55869,55.869,17,"3/25/20",3,4,2,1
"3",1001,"Autauga County","AL",55869,55.869,17,"3/26/20",2,6,3,2
"4",1001,"Autauga County","AL",55869,55.869,17,"3/27/20",0,6,4,3
"5",1001,"Autauga County","AL",55869,55.869,17,"3/28/20",0,6,5,4
"6",1001,"Autauga County","AL",55869,55.869,17,"3/29/20",0,6,6,5
"7",1001,"Autauga County","AL",55869,55.869,17,"3/30/20",1,7,7,6
"8",1001,"Autauga County","AL",55869,55.869,17,"3/31/20",0,7,8,7
"9",1001,"Autauga County","AL",55869,55.869,17,"4/1/20",3,10,9,8
"10",1001,"Autauga County","AL",55869,55.869,17,"4/2/20",0,10,10,9
"11",1001,"Autauga County","AL",55869,55.869,17,"4/3/20",2,12,11,10
"12",1001,"Autauga County","AL",55869,55.869,17,"4/4/20",0,12,12,11
"13",1001,"Autauga County","AL",55869,55.869,17,"4/5/20",0,12,13,12
"14",1001,"Autauga County","AL",55869,55.869,17,"4/6/20",0,12,14,13
"15",1001,"Autauga County","AL",55869,55.869,17,"4/7/20",0,12,15,14
"16",1001,"Autauga County","AL",55869,55.869,17,"4/8/20",0,12,16,15
"17",1001,"Autauga County","AL",55869,55.869,17,"4/9/20",5,17,17,16
"18",1001,"Autauga County","AL",55869,55.869,17,"4/10/20",0,17,18,17
"19",1003,"Baldwin County","AL",223234,223.234,59,"3/14/20",1,1,1,0
"20",1003,"Baldwin County","AL",223234,223.234,59,"3/15/20",0,1,2,1
"21",1003,"Baldwin County","AL",223234,223.234,59,"3/16/20",0,1,3,2
"22",1003,"Baldwin County","AL",223234,223.234,59,"3/17/20",0,1,4,3
"23",1003,"Baldwin County","AL",223234,223.234,59,"3/18/20",0,1,5,4
"24",1003,"Baldwin County","AL",223234,223.234,59,"3/19/20",0,1,6,5
"25",1003,"Baldwin County","AL",223234,223.234,59,"3/20/20",1,2,7,6
"26",1003,"Baldwin County","AL",223234,223.234,59,"3/21/20",0,2,8,7
"27",1003,"Baldwin County","AL",223234,223.234,59,"3/22/20",1,3,9,8
"28",1003,"Baldwin County","AL",223234,223.234,59,"3/23/20",0,3,10,9
"29",1003,"Baldwin County","AL",223234,223.234,59,"3/24/20",1,4,11,10
"30",1003,"Baldwin County","AL",223234,223.234,59,"3/25/20",0,4,12,11
"31",1003,"Baldwin County","AL",223234,223.234,59,"3/26/20",1,5,13,12
"32",1003,"Baldwin County","AL",223234,223.234,59,"3/27/20",0,5,14,13
"33",1003,"Baldwin County","AL",223234,223.234,59,"3/28/20",5,10,15,14
"34",1003,"Baldwin County","AL",223234,223.234,59,"3/29/20",5,15,16,15
"35",1003,"Baldwin County","AL",223234,223.234,59,"3/30/20",3,18,17,16
"36",1003,"Baldwin County","AL",223234,223.234,59,"3/31/20",1,19,18,17
"37",1003,"Baldwin County","AL",223234,223.234,59,"4/1/20",4,23,19,18
"38",1003,"Baldwin County","AL",223234,223.234,59,"4/2/20",2,25,20,19
"39",1003,"Baldwin County","AL",223234,223.234,59,"4/3/20",3,28,21,20
"40",1003,"Baldwin County","AL",223234,223.234,59,"4/4/20",1,29,22,21
"41",1003,"Baldwin County","AL",223234,223.234,59,"4/5/20",5,34,23,22
"42",1003,"Baldwin County","AL",223234,223.234,59,"4/6/20",4,38,24,23
"43",1003,"Baldwin County","AL",223234,223.234,59,"4/7/20",4,42,25,24
"44",1003,"Baldwin County","AL",223234,223.234,59,"4/8/20",7,49,26,25
"45",1003,"Baldwin County","AL",223234,223.234,59,"4/9/20",10,59,27,26
"46",1003,"Baldwin County","AL",223234,223.234,59,"4/10/20",0,59,28,27
"47",1005,"Barbour County","AL",24686,24.686,9,"4/3/20",1,1,1,0
