"","state_fips","state_name","state_pop","state_pop_in_thou"
"1",1,"AK",731545,731.545
"2",2,"AL",4903185,4903.185
"3",4,"AR",3017804,3017.804
"4",5,"AZ",7278717,7278.717
"5",6,"CA",39512223,39512.223
"6",8,"CO",5758736,5758.736
"7",9,"CT",3565287,3565.287
"8",10,"DC",705749,705.749
"9",11,"DE",973764,973.764
"10",12,"FL",21477737,21477.737
"11",13,"GA",10617423,10617.423
"12",15,"HI",1415872,1415.872
"13",16,"IA",3155070,3155.07
"14",17,"ID",1787065,1787.065
"15",18,"IL",12671821,12671.821
"16",19,"IN",6732219,6732.219
"17",20,"KS",2913314,2913.314
"18",21,"KY",4467673,4467.673
"19",22,"LA",4648794,4648.794
"20",23,"MA",6892503,6892.503
"21",24,"MD",6045680,6045.68
"22",25,"ME",1344212,1344.212
"23",26,"MI",9986857,9986.857
"24",27,"MN",5639632,5639.632
"25",28,"MO",6137428,6137.428
"26",29,"MS",2976149,2976.149
"27",30,"MT",1068778,1068.778
"28",31,"NC",10488084,10488.084
"29",32,"ND",762062,762.062
"30",33,"NE",1934408,1934.408
"31",34,"NH",1359711,1359.711
"32",35,"NJ",8882190,8882.19
"33",36,"NM",2096829,2096.829
"34",37,"NV",3080156,3080.156
"35",38,"NY",19453561,19453.561
"36",39,"OH",11689100,11689.1
"37",40,"OK",3956971,3956.971
"38",41,"OR",4217737,4217.737
"39",42,"PA",12801989,12801.989
"40",44,"RI",1059361,1059.361
"41",45,"SC",5148714,5148.714
"42",46,"SD",884659,884.659
"43",47,"TN",6829174,6829.174
"44",48,"TX",28995881,28995.881
"45",49,"UT",3205958,3205.958
"46",50,"VA",8535519,8535.519
"47",51,"VT",623989,623.989
"48",53,"WA",7614893,7614.893
"49",54,"WI",5822434,5822.434
"50",55,"WV",1792147,1792.147
"51",56,"WY",578759,578.759
