state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked,notes,totalTestResults
AK,69,1,1,1,1,A,4,2319,13,3,1,2401,3/26 21:00,3/26 22:32,2020-03-27T01:00:00Z,2020-03-27T02:32:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2388
AL,531,1,1,0,0,C,2,3593,,,1,4124,3/26 00:00,3/26 22:36,2020-03-26T04:00:00Z,2020-03-27T02:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4124
AR,349,1,1,1,1,A,4,1533,0,41,3,1882,3/26 00:00,3/26 22:53,2020-03-26T04:00:00Z,2020-03-27T02:53:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1882
AZ,577,1,1,1,0,B,3,347,33,66,8,957,3/26 00:00,3/26 22:52,2020-03-26T04:00:00Z,2020-03-27T02:52:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",924
CA,3006,1,1,1,0,B,3,17380,57400,253,65,77786,3/25 17:00,3/26 22:50,2020-03-25T21:00:00Z,2020-03-27T02:50:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",20386
CO,1430,1,1,1,1,A,4,8692,,184,24,10122,3/26 18:00,3/26 22:40,2020-03-26T22:00:00Z,2020-03-27T02:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",10122
CT,1012,1,1,1,1,A,4,5488,,125,21,6500,3/26 16:00,3/26 22:39,2020-03-26T20:00:00Z,2020-03-27T02:39:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6500
DC,267,1,1,1,1,A,4,1897,2,,3,2166,3/26 19:00,3/26 22:36,2020-03-26T23:00:00Z,2020-03-27T02:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2164
DE,143,1,1,0,0,C,2,36,,15,2,179,3/26 00:00,3/26 23:06,2020-03-26T04:00:00Z,2020-03-27T03:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",179
FL,2359,1,1,1,1,A,4,24553,,410,29,26912,3/26 11:00,3/26 22:51,2020-03-26T15:00:00Z,2020-03-27T02:51:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",26912
GA,1643,1,1,1,1,A,4,7305,,509,56,8948,3/26 19:00,3/26 22:35,2020-03-26T23:00:00Z,2020-03-27T02:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8948
HI,106,1,1,1,1,A,4,4357,,7,,4463,3/26 18:00,3/26 22:30,2020-03-26T22:00:00Z,2020-03-27T02:30:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4463
IA,179,1,1,0,0,C,2,2578,,46,1,2757,3/26 00:00,3/26 16:56,2020-03-26T04:00:00Z,2020-03-26T20:56:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2757
