date,states,positive,negative,posNeg,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200326,56,80735,438603,519338,60251,10131,1163,579589,2020-03-26T20:00:00Z,519338,276,3995,83468,17060,100528
20200325,56,63675,355135,418810,14735,6136,887,433545,2020-03-25T20:00:00Z,418810,212,1668,62377,11705,74082
20200324,56,51970,292758,344728,14433,4468,675,359161,2020-03-24T20:00:00Z,344728,204,1143,55437,9806,65243
20200323,56,42164,237321,279485,14571,3325,471,294056,2020-03-23T20:00:00Z,279485,73,771,43858,10276,54134
20200322,56,31888,193463,225351,2842,2554,398,228193,2020-03-22T20:00:00Z,225351,126,590,37554,8685,46239
20200321,56,23203,155909,179112,3477,1964,272,182589,2020-03-21T20:00:00Z,179112,53,1964,37762,6165,43927
20200320,56,17038,118147,135185,3336,,219,138521,2020-03-20T20:00:00Z,135185,59,0,29028,5315,34343
20200319,56,11723,89119,100842,3025,,160,103867,2020-03-19T20:00:00Z,100842,48,0,22894,3992,26886
20200318,56,7731,66225,73956,2538,,112,76494,2020-03-18T20:00:00Z,73956,22,0,18621,2008,20629
20200317,56,5723,47604,53327,1687,,90,55014,2020-03-17T20:00:00Z,53327,19,0,11500,1704,13204
20200316,56,4019,36104,40123,1691,,71,41814,2020-03-16T20:00:00Z,40123,11,0,13556,846,14402
20200315,51,3173,22548,25721,2242,,60,27963,2020-03-15T20:00:00Z,25721,11,0,5446,723,6169
20200314,51,2450,17102,19552,1236,,49,20788,2020-03-14T20:00:00Z,19552,10,0,3489,528,4017
20200313,51,1922,13613,15535,1130,,39,16665,2020-03-13T20:00:00Z,15535,3,0,5572,607,6179
20200312,51,1315,8041,9356,673,,36,10029,2020-03-12T20:00:00Z,9356,9,0,1971,262,2233
20200311,51,1053,6070,7123,563,,27,7686,2020-03-11T20:00:00Z,7123,27,0,2263,275,2538
20200310,51,778,3807,4585,469,,,5054,2020-03-10T20:00:00Z,4585,0,0,440,194,634
20200309,51,584,3367,3951,313,,,4264,2020-03-09T20:00:00Z,3951,0,0,1032,167,1199
20200308,51,417,2335,2752,347,,,3099,2020-03-08T20:00:00Z,2752,0,0,526,76,602
20200307,51,341,1809,2150,602,,,2752,2020-03-07T21:00:00Z,2150,0,0,238,118,356
20200306,36,223,1571,1794,458,,,2252,2020-03-06T21:00:00Z,1794,0,0,618,47,665
20200305,24,176,953,1129,197,,,1326,2020-03-05T21:00:00Z,1129,0,0,205,58,263
20200304,14,118,748,866,103,,,969,2020-03-04T21:00:00Z,866,,,,,
